[GHC-81232] "TcRnListComprehensionDuplicateBinding"
[GHC-55814] "TcRnLastStmtNotExpr"
[GHC-42026] "TcRnUnexpectedStatementInContext"
[GHC-95880] "TcRnSectionWithoutParentheses"
[GHC-50730] "TcRnIllegalImplicitParameterBindings"
[GHC-59155] "TcRnIllegalTupleSection"
[GHC-37479] "TcRnTermNameInType"
[GHC-12875] "TcRnUnexpectedKindVar"
[GHC-93632] "TcRnNegativeNumTypeLiteral"
[GHC-54180] "TcRnUnusedQuantifiedTypeVar"
[GHC-65490] "TcRnMissingRoleAnnotation"
[GHC-49957] "TcRnUntickedPromotedThing"
[GHC-39716] "TcRnIllegalBuiltinSyntax"
[GHC-18042] "TcRnWarnDefaulting"
[GHC-49692] "TcRnForeignImportPrimExtNotSet"
[GHC-26133] "TcRnForeignImportPrimSafeAnn"
[GHC-76251] "TcRnForeignFunctionImportAsValue"
[GHC-57989] "TcRnFunPtrImportWithoutAmpersand"
[GHC-03355] "TcRnIllegalForeignDeclBackend"
[GHC-01245] "TcRnUnsupportedCallConv"
[GHC-95774] "TcRnInvalidCIdentifier"
[GHC-01570] "TcRnExpectedValueId"
[GHC-55876] "TcRnRecSelectorEscapedTyVar"
[GHC-16444] "TcRnPatSynNotBidirectional"
[GHC-11913] "TcRnIllegalDerivingItem"
[GHC-18932] "TcRnUnexpectedAnnotation"
[GHC-89246] "TcRnIllegalRecordSyntax"
[GHC-20967] "TcRnInvalidVisibleKindArgument"
[GHC-05989] "TcRnTooManyBinders"
[GHC-17370] "TcRnDifferentNamesForTyVar"
[GHC-59738] "TcRnDisconnectedTyVar"
[GHC-55233] "TcRnInvalidReturnKind"
[GHC-80768] "TcRnClassKindNotConstraint"
[GHC-91938] "TcRnMatchesHaveDiffNumArgs"
[GHC-46131] "TcRnCannotBindScopedTyVarInPatSig"
[GHC-48361] "TcRnCannotBindTyVarsInPatBind"
[GHC-01629] "TcRnTooManyTyArgsInConPattern"
[GHC-96665] "TcRnMultipleInlinePragmas"
[GHC-88293] "TcRnUnexpectedPragmas"
[GHC-35827] "TcRnNonOverloadedSpecialisePragma"
[GHC-85337] "TcRnSpecialiseNotVisible"
[GHC-92878] "TcRnDifferentExportWarnings"
[GHC-94721] "TcRnIncompleteExportWarnings"
[GHC-50649] "TcRnIllegalTypeOperatorDecl"
[GHC-64861] "TcRnIllegalKind"
[GHC-74097] "TcRnUnexpectedPatSigType"
[GHC-91382] "TcRnIllegalKindSignature"
[GHC-68567] "TcRnDataKindsError"
[GHC-93006] "TcRnIllegalHsigDefaultMethods"
[GHC-93007] "TcRnHsigFixityMismatch"
[GHC-93011] "TcRnHsigMissingModuleExport"
[GHC-59794] "TcRnBadGenericMethod"
[GHC-13511] "TcRnWarningMinimalDefIncomplete"
[GHC-28587] "TcRnDefaultMethodForPragmaLacksBinding"
[GHC-72520] "TcRnIgnoreSpecialisePragmaOnDefMethod"
[GHC-46284] "TcRnBadMethodErr"
[GHC-15013] "TcRnIllegalTypeData"
[GHC-67297] "TcRnTypeDataForbids"
[GHC-06201] "TcRnUnsatisfiedMinimalDef"
[GHC-06202] "TcRnMisplacedInstSig"
[GHC-54201] "TcRnCapturedTermName"
[GHC-58805] "TcRnBindingOfExistingName"
[GHC-50419] "TcRnMultipleFixityDecls"
[GHC-41507] "TcRnIllegalPatternSynonymDecl"
[GHC-69248] "TcRnIllegalClassBinding"
[GHC-93961] "TcRnOrphanCompletePragma"
[GHC-48010] "TcRnEmptyCase"
[GHC-59119] "TcRnNonStdGuards"
[GHC-31744] "TcRnDuplicateSigDecl"
[GHC-87866] "TcRnMisplacedSigDecl"
[GHC-40700] "TcRnUnexpectedDefaultSig"
[GHC-85346] "TcRnDuplicateMinimalSig"
[GHC-95159] "TcRnUnexpectedStandaloneDerivingDecl"
[GHC-65669] "TcRnUnusedVariableInRuleDecl"
[GHC-45906] "TcRnUnexpectedStandaloneKindSig"
[GHC-63294] "TcRnIllegalRuleLhs"
[GHC-97170] "TcRnDuplicateRoleAnnot"
[GHC-43371] "TcRnDuplicateKindSig"
[GHC-87139] "TcRnIllegalDerivStrategy"
[GHC-30281] "TcRnIllegalMultipleDerivClauses"
[GHC-55631] "TcRnNoDerivStratSpecified"
[GHC-18403] "TcRnStupidThetaInGadt"
[GHC-99412] "TcRnShadowedTyVarNameInFamResult"
[GHC-88333] "TcRnIncorrectTyVarOnLhsOfInjCond"
[GHC-48254] "TcRnUnknownTyVarsOnRhsOfInjCond"
[GHC-28914] "TcRnBadlyStaged"
[GHC-86357] "TcRnBadlyStagedType"
[GHC-18157] "TcRnStageRestriction"
[GHC-10969] "TcRnTyThingUsedWrong"
